               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12304,            0.023576,            0.029008,           0.0024875,             0.48333,           0.0023257,          0.00065941,            0.080386,            0.011995,            0.020111,              0.0973,              0.0003,              0.0003
                   1,             0.12183,            0.023002,            0.030248,           0.0036038,             0.70833,           0.0044063,           0.0012404,            0.077405,            0.012326,            0.019836,            0.093695,          0.00069538,          0.00069538
                   2,             0.11786,            0.022091,            0.030041,           0.0044906,             0.84167,           0.0092589,           0.0025622,            0.071536,            0.013185,            0.019739,            0.090085,           0.0010855,           0.0010855
                   3,             0.10269,            0.028915,            0.028825,            0.004903,             0.96667,            0.017148,           0.0047812,            0.065107,              0.0137,            0.018994,             0.08647,           0.0014703,           0.0014703
                   4,            0.098346,            0.033178,            0.028935,           0.0046501,               0.875,            0.015002,           0.0046221,            0.059866,            0.014855,            0.019043,             0.08285,           0.0018498,           0.0018498
                   5,            0.091786,            0.030346,            0.028096,           0.0046493,               0.875,            0.023709,           0.0081285,            0.054787,             0.01519,            0.019006,            0.079224,           0.0022241,           0.0022241
                   6,            0.088445,            0.035423,            0.027491,           0.0050906,                   1,            0.030586,           0.0096084,            0.051216,            0.014969,            0.018378,            0.075593,           0.0025931,           0.0025931
                   7,            0.081501,            0.031637,            0.027345,           0.0051407,                   1,            0.066846,            0.023445,            0.048646,            0.014586,            0.017969,            0.071957,           0.0029568,           0.0029568
                   8,            0.082187,            0.032895,            0.026316,            0.042155,              0.7125,             0.12668,            0.042036,             0.04634,            0.014301,            0.016968,            0.068315,           0.0033152,           0.0033152
                   9,            0.075436,            0.034757,            0.026166,             0.10985,                 0.1,             0.19856,            0.047936,            0.045523,             0.01412,            0.016193,            0.064668,           0.0036683,           0.0036683
                  10,            0.073728,            0.034385,            0.024605,             0.16123,             0.45833,             0.20566,            0.061389,            0.042621,            0.014167,             0.01546,            0.061016,           0.0040162,           0.0040162
                  11,            0.069302,            0.032887,            0.024795,             0.18711,              0.2625,             0.28717,            0.071734,            0.040723,            0.015191,             0.01546,            0.057359,           0.0043588,           0.0043588
                  12,            0.066395,            0.036994,             0.02393,             0.13106,             0.39583,              0.1743,            0.058135,            0.040637,             0.01742,            0.015222,            0.053696,           0.0046961,           0.0046961
                  13,            0.067505,            0.030764,            0.023112,             0.24837,             0.52083,             0.26092,             0.10672,             0.04178,            0.017714,            0.014783,            0.050028,           0.0050281,           0.0050281
                  14,            0.061731,            0.036504,            0.024325,             0.20661,             0.45833,             0.25081,            0.067175,            0.043225,            0.017704,            0.014728,            0.046355,           0.0053548,           0.0053548
                  15,            0.062909,            0.037154,            0.022824,             0.19835,              0.7125,             0.34863,            0.070917,            0.043576,            0.017893,            0.014368,            0.042676,           0.0056763,           0.0056763
                  16,            0.065826,            0.032608,              0.0231,             0.16331,             0.71667,             0.29984,            0.065382,            0.042078,            0.016995,            0.014478,            0.038992,           0.0059925,           0.0059925
                  17,            0.062338,            0.034318,            0.022191,             0.68686,             0.26667,             0.20666,            0.054793,            0.054157,            0.016373,            0.014398,            0.035303,           0.0063034,           0.0063034
